ano,nome_musica,artista,letra
1968,As Canções Que Você Fez Pra Mim,Maria Bethânia,"Hoje eu ouço as canções que você fez pra mim
Não sei por que razão tudo mudou assim
Ficaram as canções
E você não ficou
Esqueceu de tanta coisa que um dia me falou
Tanta coisa que somente entre nós dois ficou
Eu acho que você
Já nem se lembra mais
É tão difícil
Olhar o mundo e ver o que ainda existe
Pois sem você meu mundo é diferente
Minha alegria é triste
Você disse tantas vezes que me amava tanto
Tantas vezes eu enxuguei o seu pranto
Agora eu choro só
Sem ter você aqui
Esqueceu de tanta coisa que um dia me falou
Tanta coisa que somente entre nós dois ficou
Eu acho que você
Já nem se lembra mais
É tão difícil
Olhar o mundo e ver o que ainda existe
Pois sem você meu mundo é diferente
Minha alegria é triste
Você disse tantas vezes que me amava tanto
Tantas vezes eu enxuguei o teu pranto
E agora eu choro só
Sem ter você aqui"
1992,Slipping Away,Information Society,"So I've been thinking of the way you used to talk to me
And now it seems we never talk at all
So kiss me like you would kiss me if it were the last time
Hold me now, hold me like you did hold me when it was
the first time
Cause I can feel you slipping away
And I can't think of anything to say
That will turn you around and make you stay
I can feel you slipping away
Slipping away
Now I can see you talking softly on the phone again
And more and more you need to be alone
Now I make you angry just by being near
And even when we're together now we still feel lonely
So kiss me like you would kiss me if it were the last time
Hold me now, hold me like you did hold me when it was
the first time
Cause I can feel you slipping away
And I can't think of anything to say
That will turn you around and make you stay
I can feel you slipping away
Slipping away
Cause I can feel you slipping away
And I can't think of anything to say
That will turn you around and make you stay
I can feel you slipping away
Slipping away"
1977,Pombo Correio,Moraes Moreira,"Pombo correio
Voa depressa
E esta carta leva
Para o meu amor
Leva no bico
Que eu aqui
Fico esperando
Pela resposta
Que é pra saber
Se ela ainda
Gosta de mim
Pombo correio
Se acaso
Um desencontro
Acontecer
Não perca
Nem um só segundo
Voar o mundo
Se preciso for
O mundo voa
Mas me traga
Uma notícia boa
Pombo correio
Voa ligeiro
Meu mensageiro
E essa mensagem
De amor
Leva no bico
Que eu aqui
Fico cantando
Que é pra espantar
Essa tristeza
Que a incerteza
Que o amor traz
Pombo correio
Nesse caso
Eeu lhe conto
Por estas linhas
A que ponto
Quer chegar
Meu coração
O que mais gosta
Volta pra mim
Seria assim
A melhor resposta"
2009,"Sorri, Sou Rei",Natiruts,"Quando a esperança de uma noite de amor
Lhe trouxer vontade para viver mais
E a promessa que a chance terminou
É bobagem, é melhor deixar pra trás
Eu tô cansado de sofrer
Quero dançar, sentir calor
E poder só olhar o Universo em torno de você
Brilhando em vida
Sorrindo à toa
Só vibrando amor e paz
Sinto a noite
Penso em você
Lembro como é bom amar
Quando você se foi, chorei
Chorei, chorei
Agora que voltou, sorri
Sorri, sou rei
Quando você se foi, chorei
Chorei, chorei
Agora que voltou, sorri
Sorri, sou rei
Sabes que el simple perfume de una flor
Puede venir y ser un gran amor para tu vida
No gastes palabras para vivir y eludir
Sus sueños tan raros con mentiras
No maltrates el corazón que dedicó a su sonrisa todos sus latidos
Seré libre de sentir los sueños de una pasión
Que será una história linda
Dime que me adoras
Deja tu orgullo y ven que ya llegó la hora
De encontrarnos y ser uno solo
No te demores
Que la llama se puede apagar
Desvanezca el aire
Y quede en el recuerdo
Eu tô cansado de sofrer (cansado de sufrir)
Quero dançar, sentir calor (bailar, sentir calor)
E poder só olhar o Universo em torno de você
Brilhando em vida (brillando en vida)
Sorrindo à toa
Vibrando de amor e paz
Veo la Luna (veo una Luna)
Torço pra realizar
Sinto a noite (siento la noche)
Penso em você
Lembro como é bom amar
Quando você se foi, chorei
Chorei, chorei
Agora que voltou, sorri
Sorri, sou rei
Quando você se foi, chorei
Chorei, chorei (chorei, chorei)
Agora que voltou, sorri
Sorri, sou rei"
1961,Maringá,Inezita Barroso,"Foi numa leva que a cabocla Maringá
Ficou sendo a retirante que mais dava o que falar
E junto dela veio alguém que suplicou
Pra que nunca se esquecesse de um caboclo que ficou
Maringá, Maringá
Depois que tu partiste
Tudo aqui ficou tão triste
Que eu garrei a imaginar
Maringá, Maringá
Para haver felicidade
É preciso que a saudade
Vá bater noutro lugar
Maringá, Maringá
Volta aqui pro meu sertão
Pra de novo o coração
De um caboclo assossegar
Antigamente uma alegria sem igual
Dominava aquela gente da cidade de Pombal
Mas veio a seca, toda chuva foi-se embora
Só restando então as águas dos meus olhos quando chora"
1961,Coração De Luto,Teixeirinha,"O maior golpe do mundo
Que eu tive na minha vida
Foi quando com nove anos
Perdi minha mãe querida
Morreu queimada no fogo
Morte triste e dolorida
Que fez a minha mãezinha
Dar o adeus da despedida
Vinha vindo da escola
Quando de longe avistei
O rancho que nós morava
Cheio de gente encontrei
Antes que alguém me dissesse
Eu logo imaginei
Que o caso era de morte
Da mãezinha que eu amei
Seguiu num carro de boi
Aquele preto caixão
Ao lado eu ia chorando
A triste separação
Ao chegar no campo santo
Foi maior a exclamação
Cobriram com terra fria
Minha mãe do coração
Dali eu saí chorando
Por mãos de estranhos levado
Mas não levou nem dois meses
No mundo fui atirado
Com a morte da minha mãe
Fiquei desorientado
Com nove anos apenas
Por este mundo jogado
Passei fome e passei frio
Por este mundo perdido
Quando mamãe era viva
Me disse: filho querido
Pra não roubar, não matar
Não ferir, não ser ferido
Descanse em paz, minha mãe
Eu cumprirei seu pedido
O que me resta na mente
Minha mãezinha é teu vulto
Recebas uma oração
Deste filho que é teu fruto
Que dentro do peito traz
O seu sentimento oculto
Desde nove anos tenho
O meu coração de luto."
2005,Eu Quero Sempre Mais,Ira!,"A minha vida
Eu preciso mudar todo dia
Pra escapar
Da rotina dos meus desejos por seus beijos
E os meus sonhos
Eu procuro acordar e perseguir meus sonhos
Mas a realidade que vem depois
Não é bem aquela que planejei
Eu quero sempre mais
Eu quero sempre mais
Eu espero sempre mais
De ti
Por isso hoje
Estou tão triste
Por que querer está tão longe de poder?
E quem eu quero está tão longe
Longe de mim
Longe de mim
Longe de mim
Longe de mim
A minha vida
Eu preciso mudar todo dia
Pra escapar
Da rotina dos meus desejos por seus beijos
E os meus sonhos
Eu procuro acordar e perseguir meus sonhos
Mas a realidade que vem depois
Não é bem aquela que planejei!
Eu quero sempre mais
Eu quero sempre mais
Eu espero sempre mais
De ti
Por isso hoje
Estou tão triste
Por que querer está tão longe de poder?
E quem eu quero está tão longe
Longe de mim
Longe de mim
Longe de mim
Longe de mim
Longe de mim
Longe de mim"
1964,Please Please Me,The Beatles,"Last night, I said these words to my girl
I know you never even try, girl
Come on (come on)
Come on (come on)
Come on (come on)
Come on (come on)
Please, please me, whoa, yeah
Like I please you
You don't need me to show the way, love
Why do I always have to say, love?
Come on (come on)
Come on (come on)
Come on (come on)
Come on (come on)
Please, please me, woah, yeah
Like I please you
I don't want to sound complaining (ah-ooh)
But you know there's always rain in my heart (in my heart)
I do all the pleasing, with you it's so hard to reason (ah-ooh)
With you, woah, yeah, why do you make me blue?
Last night, I said these words to my girl
Why do I never even try, girl? (I know you never even try, girl)
Come on (come on)
Come on (come on)
Come on (come on)
Come on (come on)
Please, please me, woah, yeah
Like I please you
Me, woah, yeah
Like I please you
Me, woah, yeah
Like I please you"
1959,De Conversa Em Conversa,João Gilberto,"Vivendo dessa maneira continuar é besteira
Não adianta não
O que passou é poeira, deixa de asneira
Que eu não sou limão
Oi, de conversa em conversa
Você vai arranjando um meio de brigar
Oi, de palavra em palavra
Você está querendo é nos separar
Parece até que o destino uniu-se com você
Só pra me maltratar
E cada dia que passa é mais uma tormenta
Que eu deixei ficar
Nosso viver não adianta
É melhor juntarmos os nossos trapos
Arrume tudo que é seu
Que vou separando os meus farrapos
Vivendo dessa maneira continuar é besteira
Não adianta não, não, não
O que passou é poeira
Deixa de asneira que eu não sou limão
Oi, de conversa em conversa
Você vai arranjando um meio de brigar
Oi, de palavra em palavra
Você está querendo é nos separar
Parece até que o destino uniu-se com você
Só pra me maltratar
E cada dia que passa é mais uma tormenta
Que eu deixei ficar
Nosso viver não adianta
É melhor juntarmos os nossos trapos
Arrume tudo que é seu
Que vou separando os meus farrapos
Vivendo dessa maneira continuar é besteira
Não adianta não, não, não
O que passou é poeira
Deixa de asneira que eu não sou limão
Não sou limão, eu não
Não sou limão, eu não
Não sou limão, eu não (não, não, não!)
Não sou limão, eu não (não, não, não!)
Não sou limão, eu não (não, não, não!)
Não sou limão, eu não
Não sou limão, eu não (não, não, não!)
Não sou limão, eu não (não, não, não!)
Não sou limão, eu não (não, não, não!)
Não sou limão, eu não"
1959,Hala Madrid (2025 Edition),BAD NOVA,"Hala Madrid (hala Madrid)
Hala Madrid (hala Madrid)
Hala Madrid mon petit
Hala Madrid (hala Madrid)
Hala Madrid (hala Madrid)
Hala Madrid (hala Madrid)
Hala Madrid mon petit
Hala Madrid (hala Madrid)
Père c’est le club de Dieu
Le démon dragon à quinze queues
C’est le club qui fait peur à tous les club qui vous font peur
On a d’abord Bellingham, Pedri Gavi dans chaque pied
Luka Modrić ballon d’or, baguettes magiques à la place des pieds
Le sniper Toni Kroos, même si le stade est dans le noir
Le type là connaît les équations, les équations de toutes les trajectoires
Frederico Valverde c’est notre futur capitaine
Thibaut Courtois dans les goals père chewing-gum dans les mains
Chewing-gum dans les mains hè
Chewing-gum dans les mains hè
Chewing-gum dans les mains Thibaut Courtois Chewing-gum dans les mains
Black Satan sur le côté (toi même tu know que c’est dangereux)
L’éclair des enfers sur le côté (toi même tu know que c’est dangereux)
Vini Junior sur le côté (toi même tu know que c’est dangereux)
Le cauchemar de ton latéral (toi même tu know que c’est dangereux)
Le pied électrique de Rodrygo rapide comme la tête du mamba vert
Feinte de corps de Brahim Diaz père tu vas te briser les lombaires
Quand tu entends que Rüdiger tu sais que le gars là est Rugueux
Militao ne veut pas la balle il veut seulement croquer ton os
Cama oohh Cama oohh (cest le malade du milieu)
Cama oohh Cama oohh (il peut couper comme latéral)
Cama oohh Cama oohh (il peut jouer même en attaque)
Cama oohh Cama oohh (il peut couper même dans les goals)
Don Carlo Ancelotti c’est la légende du coaching
Fiorentino des Fiorentino c’est la légende du Presi
Sergeo Ramos le général c’est la légende du capi
G.O.A. t Cristiano Ronaldo père c’est la légende du player
C’est la légende du player
C’est la légende du player
C’est la légende du player père
C’est la légende du player (waah)
Hala Madrid (hala Madrid)
Hala Madrid (hala Madrid)
Hala Madrid mon petit
Hala Madrid (hala Madrid)
Hala Madrid (hala Madrid)
Hala Madrid (hala Madrid)
Hala Madrid mon petit
Hala Madrid (hala Madrid)
Avec Kyllian Mbappe que feront donc tu cher barcelonais?
Aurélien Tchouameni l’aspirateur du milieu de terrain
Nacho Fernandez capitaine nerveux
Ferland Mendy celui qui va te dribbler n’est pas né
David Alaba la chaise est positionnée
Centre banane de Carvajal le coup de tête de Joselu
Lucas Vasquez l’homme au sang glacial
Arda Güler notre diamant brute
Fran Garcia, Dani Ceballos
Andriy Lunin il faut aussi souvent sourire
Tu peux douter de tout
Ton homme ou ta femme
Doute de tout
Mais ne doute jamais du Réal Madrid"
1968,Never My Love,Association,"You ask me if there'll come a time
When I grow tired of you
Never, my love
Never, my love
You wonder if this heart of mine
Will lose its desire for you
Never, my love
Never, my love
What makes you think love will end
When you know that my whole life depends
On you (on you)
Never, my love
Never, my love
You say you fear I'll change my mind
And I won't require you
Never, my love
Never, my love
How can you think love will end
When I've asked you to spend your whole life
With me (with me, with me)"
1999,Someday,Nickelback,"How the hell did we wind up like this?
Why weren't we able to see the signs that we missed
And try to turn the tables?
I wish you'd unclench your fists
And unpack your suitcase
Lately there's been too much of this
But don't think it's too late
Nothing's wrong, just as long as
You know that someday I will
Someday, somehow
I'm gonna make it all right but not right now
I know you're wondering when
(You're the only one who knows that)
Someday, somehow
I'm gonna make it all right but not right now
I know you're wondering when
Well I'd hope that since we're here anyway
That we could end up saying
Things we've always needed to say
So we could end up staying
Now the story's played out like this
Just like a paperback novel
Let's rewrite an ending that fits
Instead of a Hollywood horror
Nothing's wrong, just as long as
You know that someday I will
Someday, somehow
I'm gonna make it all right but not right now
I know you're wondering when
(You're the only one who knows that)
Someday, somehow
I'm gonna make it all right but not right now
I know you're wondering when
(You're the only one who knows that)
How the hell did we wind up like this?
Why weren't we able, to see the signs that we missed?
And try to turn the tables
Now the story's played out like this
Just like a paperback novel
Let's rewrite an ending that fits
Instead of a Hollywood horror
Nothing's wrong, just as long as
You know that someday I will
Someday, somehow
I'm gonna make it all right but not right now
I know you're wondering when
(You're the only one who knows that)
Someday, somehow
I'm gonna make it all right but not right now
I know you're wondering when
(You're the only one who knows that)
I know you're wondering when
(You're the only one who knows that)
I know you're wondering when"
2014,Diz Pra Mim (Just Give Me a Reason),Gusttavo Lima,"Desde o início você esteve tão presente
E eu só te evitando
Estou do outro lado as coisas mudam com o tempo
E hoje não vivo sem você
E agora você diz pra mim
Que já não é bem assim
Já está tão perto o fim do nosso amor
Nosso amor
Diz o que é preciso pra te ter aqui comigo
Pra fazer o nosso amor reviver
Pra não te perder
O que é preciso pra te ter aqui comigo
E a velha chama reacender
Pra não te perder
Desculpe, mas eu não entendo
A gente se perdeu no tempo
E eu fiquei tão perdido
Confesso que às vezes penso na gente
E em um recomeço
Melhor e bem diferente
Mas tem que partir de você
Amor, fazer por merecer
Porque não se conserta assim
O nosso amor, nosso amor
Nosso amor, amor
Diz o que é preciso pra te ter aqui comigo
Pra fazer o nosso amor reviver
Pra não te perder
O que é preciso pra te ter aqui comigo
E a velha chama reacender
Pra não te perder
Não posso aceitar, não é nosso fim
Está escrito nas estrelas você nasceu pra mim
Depende de nós tudo mudar
Eu quero e sei que você também
(Diz pra mim)
Diz o que é preciso pra te ter aqui comigo
Pra fazer o nosso amor reviver
Pra não te perder
O que é preciso pra te ter aqui comigo
E a velha chama reacender
Pra não te perder
O que é preciso pra te ter aqui comigo
Pra fazer o nosso amor reviver
Pra não te perder
O que é preciso pra te ter aqui comigo
E a velha chama reacender
Pra não te perder
Pra não te perder"
